;Equipe;Jogador;Jogos;Passe certo;Finalização certa;Desarme certo;Cruzamento certo;Interceptação certa;Dribles;Virada de jogo certa;Gols;Assistência gol;Assistência finalização;Defesa;Defesa difícil;Rebatida;Falta cometida;Falta recebida;Impedimentos;Pênaltis sofridos;Pênaltis cometidos;Perda da posse de bola;Cartão amarelo;Cartão vermelho
148;cuiaba;Raniele;5;91;2;7;0;3;1;0;1;0;1;2;0;15;4;10;0;0;0;11;1;0
149;atletico-mg;Everson;5;90;0;0;0;0;0;0;0;0;0;8;3;8;0;1;0;0;0;0;1;0
150;athletico-pr;Pablo;5;90;0;4;2;4;0;2;0;2;4;0;0;5;7;7;1;0;0;8;2;0
151;internacional;Fabricio Bustos;3;90;2;3;2;0;0;0;0;0;3;2;0;5;1;2;0;0;0;6;0;0
152;bragantino;Bruninho;4;90;3;2;3;1;6;1;1;1;9;0;0;3;0;1;0;0;1;11;0;0
153;sao-paulo;Michel Araújo;4;88;1;1;1;1;2;1;0;1;3;0;0;4;3;5;0;0;0;8;1;0
154;santos;Eduardo Bauermann;3;88;2;1;0;1;0;1;1;0;0;4;0;27;3;0;0;0;0;0;0;1
155;coritiba;Liziero;3;87;0;3;0;1;2;0;0;0;4;1;0;4;5;1;0;0;0;3;0;0
156;flamengo;David Luiz;2;86;1;0;0;1;0;4;0;0;0;1;0;3;2;0;0;0;0;0;1;0
157;flamengo;Erick Pulgar;2;86;0;5;0;1;2;1;0;0;3;0;0;5;7;1;0;0;0;3;1;0
158;bragantino;Jadsom Silva;5;86;1;5;1;2;1;1;0;0;2;2;0;7;5;1;1;0;2;6;3;0
159;corinthians;Cássio;5;85;0;0;0;0;0;0;0;0;0;9;3;3;0;2;0;0;1;0;0;0
160;palmeiras;Raphael Veiga;3;85;8;3;8;1;2;2;4;2;8;0;0;2;6;7;0;0;0;8;1;0
161;bahia;Marcos Felipe;5;85;0;0;0;0;0;0;0;0;0;17;5;5;0;1;0;0;0;1;0;0
162;santos;Camacho;3;84;0;7;0;0;0;0;0;0;1;1;0;6;8;1;1;0;0;5;1;0
163;cruzeiro;Filipe Machado;5;84;1;0;4;3;1;3;0;2;4;0;0;2;3;4;0;0;0;6;0;0
164;internacional;Baralhas;4;84;0;3;0;5;0;1;0;0;1;1;0;8;5;3;0;0;0;0;0;0
165;cuiaba;Ronald;4;84;1;3;1;1;2;0;1;0;1;0;0;8;3;6;0;0;0;7;2;0
166;flamengo;Victor Hugo;4;82;0;4;1;2;0;3;0;1;2;0;0;2;0;3;0;0;0;3;0;0
167;flamengo;Gerson;2;82;1;0;0;0;6;0;1;1;4;1;0;1;8;5;2;1;0;12;0;0
168;fortaleza;Calebe;5;82;6;3;4;1;6;0;0;0;3;0;0;1;3;7;1;0;0;15;1;0
169;gremio;Luis Suárez;4;82;8;2;2;1;2;0;1;0;3;0;0;2;1;8;4;0;0;20;1;0
170;america-mg;Emmanuel Martínez;5;82;1;1;3;3;0;1;0;0;4;2;0;0;6;6;0;0;0;11;0;0
171;internacional;Wanderson;4;80;1;5;5;2;6;1;1;1;9;0;0;1;3;6;0;0;0;12;0;0
172;coritiba;Alef Manga;4;79;5;3;0;2;3;0;0;2;7;0;0;2;6;4;2;0;0;15;1;0
173;athletico-pr;Vitor Bueno;4;79;3;2;2;1;5;1;0;1;7;0;0;2;2;6;1;0;0;9;1;0
174;palmeiras;Marcos Rocha;1;79;0;4;1;0;0;1;0;0;1;0;0;2;2;1;0;0;0;2;0;0
175;fortaleza;Hércules;4;79;2;7;0;0;2;1;1;0;2;0;0;5;3;3;1;0;0;8;0;0
176;bragantino;Andrés Hurtado;2;79;0;3;0;0;1;0;0;0;1;1;0;10;2;0;0;0;0;6;0;0
177;bahia;Yago Felipe;5;79;0;8;0;2;1;2;0;0;2;0;0;5;10;3;0;0;0;6;0;0
178;atletico-mg;Paulinho;5;78;7;5;1;1;2;1;1;0;3;0;0;3;0;2;1;0;0;16;0;0
179;goias;Lucas Halter;3;78;1;2;0;0;0;4;1;0;0;3;0;13;5;2;0;0;0;4;1;1
180;bahia;Gabriel Xavier;2;78;1;1;0;2;0;0;0;0;0;0;0;15;2;1;0;0;0;0;0;0
181;cuiaba;Emerson Negueba;5;78;2;1;0;1;2;0;0;0;2;0;0;1;3;7;1;0;0;17;0;0
182;corinthians;Adson;4;77;2;6;1;2;3;1;0;0;2;1;0;2;1;6;1;0;0;6;0;0
183;america-mg;Everaldo;5;77;4;4;1;3;3;2;1;1;6;0;0;1;3;11;3;0;0;13;3;0
184;sao-paulo;Luciano;5;76;5;1;0;0;2;4;2;1;3;0;0;5;5;6;2;0;0;8;1;0
185;botafogo;Victor Sá;4;75;5;7;2;2;2;0;1;0;3;1;0;1;3;3;0;1;0;9;0;0
186;america-mg;Iago Maidana;4;75;0;1;1;0;0;1;0;0;0;0;0;16;4;1;1;0;0;0;2;0
187;botafogo;Fernando Marçal;2;74;0;1;2;2;1;0;0;0;2;0;0;14;3;3;0;0;0;0;0;0
188;sao-paulo;Luan;3;74;0;1;0;1;0;0;0;0;0;1;0;1;1;1;0;0;0;3;0;0
189;flamengo;Matheus França;5;73;2;3;1;1;2;1;0;0;6;0;0;0;5;3;0;0;0;9;0;0
190;palmeiras;Gustavo Garcia;3;73;0;1;2;1;1;0;0;0;1;0;0;8;1;2;0;0;0;1;0;0
191;athletico-pr;Bento;5;70;0;0;0;0;0;0;0;1;0;11;4;6;0;1;0;0;0;0;1;0
192;gremio;Mathías Villasanti;2;70;0;3;0;0;0;1;0;0;1;0;0;3;3;2;0;0;0;5;1;0
193;botafogo;Lucas Fernandes;4;69;0;0;2;1;1;2;0;0;3;1;0;1;5;1;0;0;0;7;1;0
194;coritiba;Willian Farias;3;69;0;3;0;3;0;1;0;0;0;1;0;5;3;4;0;0;0;4;1;0
195;gremio;Nathan;5;69;2;3;1;3;1;0;0;0;3;1;0;2;7;2;0;0;0;4;1;0
196;corinthians;Yuri Alberto;5;68;3;0;1;1;2;0;1;0;2;0;0;5;7;6;5;0;0;20;0;0
197;corinthians;Matheus Araújo;3;68;2;2;0;2;0;1;1;0;1;0;0;0;1;4;0;0;0;5;0;0
198;cruzeiro;Gilberto;5;68;2;3;0;0;1;0;1;0;7;0;0;2;7;4;1;0;0;10;1;0
199;fortaleza;Lucas Sasha;4;68;0;7;0;4;0;0;0;0;3;0;0;8;8;2;0;0;0;2;0;0
200;bragantino;Eduardo Sasha;5;68;2;1;0;1;2;0;2;0;6;0;0;1;1;7;3;0;0;11;1;0
201;america-mg;Martín Benítez;3;68;2;2;3;2;5;0;0;0;5;0;0;1;5;7;1;0;0;15;0;0
202;bahia;Ademir;5;68;1;1;1;0;6;1;0;0;2;1;0;3;8;17;2;0;0;23;1;0
203;corinthians;Giuliano;4;67;0;2;0;0;0;0;0;0;3;0;0;1;3;1;0;0;0;4;1;0
204;flamengo;Arrascaeta;2;67;2;1;1;0;0;4;0;0;6;0;0;2;2;1;0;0;0;7;0;0
205;athletico-pr;Alex Santana;2;67;1;3;0;0;0;0;0;0;0;0;0;1;3;3;0;0;0;4;1;1
206;santos;Felipe Jonatan;1;67;0;1;2;1;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0
207;goias;Julián Palacios;4;67;1;4;8;0;3;0;0;1;8;0;0;1;4;14;1;0;0;14;1;0
208;bragantino;Lucão;4;67;0;0;0;0;0;0;0;0;0;5;2;1;0;0;0;0;0;0;1;0
209;cuiaba;Walter;5;66;0;0;0;0;0;0;0;0;0;9;6;6;0;0;0;0;0;0;0;0
210;botafogo;Gabriel Pires;2;65;0;6;0;3;0;2;0;0;3;1;0;3;3;1;0;0;0;6;0;0
211;coritiba;Gabriel Vasconcelos;5;63;0;0;0;0;0;0;0;0;0;15;5;4;0;0;0;0;0;0;1;0
212;fortaleza;Tomás Pochettino;5;63;2;2;6;1;3;1;0;0;10;0;0;5;0;5;0;0;0;9;0;0
213;santos;Ângelo;5;62;3;3;1;4;2;1;2;0;6;0;0;0;3;4;1;0;0;27;0;0
214;botafogo;Tchê Tchê;5;61;3;4;0;1;2;0;1;1;1;0;0;5;8;3;0;0;0;7;0;0
215;corinthians;Du Queiroz;3;61;0;1;0;1;1;0;0;0;1;0;0;9;6;1;0;0;0;4;1;0
216;vasco;Andrey Santos;5;61;2;9;0;4;0;0;1;0;1;1;0;13;12;3;0;0;0;8;2;0
217;internacional;Gustavo Campanharo;3;61;3;6;0;6;0;0;0;0;0;0;0;4;6;0;0;0;0;1;1;0
218;bahia;Vitor Hugo;1;61;0;2;0;1;0;0;0;0;0;0;0;6;0;1;0;0;0;0;0;0
219;sao-paulo;Jhegson Méndez;2;60;0;2;0;2;0;0;0;0;1;0;0;2;2;1;0;0;0;0;1;0
220;atletico-mg;Nathan Silva;1;60;0;0;0;0;0;1;0;0;0;0;0;5;0;1;0;0;0;0;0;0
221;santos;Gabriel Inocêncio;4;60;1;3;1;1;1;0;0;0;0;1;0;8;7;1;0;0;0;2;1;0
222;santos;João Paulo;5;60;0;0;0;0;0;0;0;0;0;13;5;8;0;0;0;0;0;1;0;0
223;vasco;Rodrigo Alves;5;60;0;7;0;0;0;0;0;0;1;0;0;9;4;2;0;0;0;3;1;0
224;america-mg;Nino Paraíba;4;60;1;2;8;1;1;2;0;0;6;0;0;6;4;5;1;0;1;8;1;0
225;athletico-pr;Zé Ivaldo;2;59;0;0;0;0;0;0;0;0;0;2;0;6;2;0;0;0;0;2;0;0
226;gremio;Thomas Luciano;4;59;0;4;0;2;3;0;0;0;0;2;0;15;5;5;1;0;0;4;0;0
227;palmeiras;Richard Ríos;5;58;1;3;0;1;8;0;0;0;0;0;0;2;1;5;0;0;0;10;0;0
228;goias;Tadeu;3;58;0;0;0;0;0;0;0;0;0;10;0;4;0;1;0;0;0;0;0;0
229;cruzeiro;Nikão;4;58;0;2;6;0;1;2;0;0;8;0;0;2;3;2;2;0;0;5;1;0
230;corinthians;Maycon;3;57;0;2;1;1;0;0;0;0;2;0;0;3;1;0;1;0;0;4;0;0
231;botafogo;Danilo Barbosa;3;56;1;3;0;0;2;3;1;0;0;0;0;16;4;5;0;0;0;11;0;0
232;fluminense;Vitor Mendes;2;55;1;0;0;0;0;0;0;0;1;2;0;17;1;0;0;0;0;0;1;0
233;fortaleza;Moisés;4;55;10;0;1;1;3;1;3;0;6;0;0;4;1;1;0;0;0;11;0;0
234;america-mg;Matheus Cavichioli;4;55;0;0;0;0;0;0;0;0;0;10;4;0;1;0;0;0;0;0;0;1
235;athletico-pr;Fernando;1;54;0;0;1;0;0;0;0;0;1;1;0;3;1;0;0;0;0;3;0;0
236;santos;Marcos Leonardo;4;54;5;1;1;0;2;0;1;1;4;0;0;3;5;10;3;0;0;17;0;0
237;vasco;Gabriel Pec;5;54;4;3;6;4;6;0;2;1;7;0;0;5;6;12;0;0;0;24;2;0
238;corinthians;Bruno Méndez;3;53;0;1;0;0;0;0;0;0;1;1;0;7;2;0;0;0;0;0;0;0
239;fluminense;Manoel;2;53;0;0;0;1;0;0;0;0;0;1;0;7;0;0;0;0;1;0;1;0
240;athletico-pr;Khellven;3;53;0;3;1;1;1;1;0;0;0;1;0;9;4;1;1;0;0;5;0;0
241;cuiaba;Denilson Alves;3;53;0;5;1;1;0;4;0;0;2;0;0;0;4;3;0;0;0;3;1;0
242;fluminense;Cano;5;52;8;3;0;0;0;1;2;0;0;3;0;3;5;1;4;0;0;6;0;0
243;sao-paulo;Marcos Paulo;5;52;3;4;1;2;3;2;2;0;7;2;0;3;6;3;1;0;0;16;1;0
244;cruzeiro;Wesley;3;52;3;4;1;0;2;2;2;0;3;0;0;0;9;2;0;0;0;15;1;0
245;palmeiras;Fabinho;4;50;0;3;0;1;0;1;0;0;1;2;0;3;1;1;0;0;0;1;0;0
246;fortaleza;Fernando Miguel;4;50;0;0;0;0;0;0;0;0;0;20;0;3;0;0;0;0;0;0;0;0
247;america-mg;Ricardo Silva;3;50;0;1;0;1;0;0;0;0;1;5;0;22;2;3;0;0;0;2;0;0
248;coritiba;Júnior Urso;2;49;1;2;0;0;1;0;0;0;1;0;0;3;1;4;0;0;0;4;1;0
249;santos;Stiven Mendoza;3;49;3;1;0;4;0;0;2;2;0;0;0;2;2;9;2;1;0;8;0;0
250;vasco;Pedro Raúl;5;49;4;1;0;1;1;0;2;0;3;1;0;13;6;4;5;0;0;20;2;0
251;bragantino;Eric Ramires;2;49;0;0;0;0;0;0;0;0;1;0;0;3;5;1;0;0;0;7;0;0
252;bahia;Diego Rosa;5;49;2;1;1;1;0;0;0;0;0;0;0;3;2;0;0;0;0;2;0;0
253;corinthians;Fabián Balbuena;1;48;0;1;0;0;0;1;0;0;0;0;0;5;1;0;0;0;0;0;0;0
254;sao-paulo;Jonathan Calleri;4;48;4;0;1;0;2;1;2;1;6;0;0;3;14;13;1;0;0;20;1;0
255;goias;Edu;1;48;0;2;0;0;0;0;0;0;0;2;0;7;1;2;0;0;1;0;0;0
256;bahia;Biel;4;48;3;2;1;1;1;0;1;0;5;0;0;0;6;14;0;0;0;11;2;0
257;santos;Joaquim;2;47;1;5;0;0;0;0;0;0;0;0;0;27;1;2;0;0;0;0;0;0
258;bahia;Matheus Bahia;2;47;0;1;2;1;0;0;0;0;3;0;0;8;5;3;0;0;0;5;1;0
259;coritiba;Andrey;3;46;0;1;3;1;0;0;0;0;1;0;0;1;2;1;0;0;1;2;0;0
260;athletico-pr;Fernandinho;2;46;0;1;1;1;1;1;0;1;1;1;0;2;4;1;1;0;1;4;1;0
261;america-mg;Marcinho;3;46;0;2;1;2;1;0;0;0;2;0;0;19;5;0;0;0;0;2;1;0
262;fluminense;John Kennedy;4;45;7;1;1;1;9;0;2;0;3;0;0;1;7;4;1;1;0;28;3;0
263;coritiba;Vilar;1;45;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0
264;goias;Matheus Peixoto;5;45;3;3;0;1;0;0;1;0;5;0;0;2;4;6;2;0;0;7;1;0
265;america-mg;Lucas Kal;3;45;1;1;1;0;0;2;0;0;0;0;0;3;1;0;0;0;0;3;1;0
266;cuiaba;Allyson;2;45;0;2;0;0;2;0;0;0;0;2;0;9;1;4;0;0;0;2;0;0
267;coritiba;Kaio;5;44;2;4;2;0;1;1;0;0;5;1;0;1;8;18;2;0;0;17;1;0
268;fortaleza;Yago Pikachu;5;44;3;1;1;0;1;2;2;0;5;1;0;1;1;5;2;0;0;9;1;0
269;gremio;João Pedro;2;44;1;4;0;1;1;0;1;0;1;1;0;4;0;2;0;0;0;5;0;0
270;flamengo;Marinho;4;43;1;2;1;0;2;0;0;0;1;0;0;0;2;0;1;0;0;9;1;0
271;fluminense;Gabriel Pirani;3;43;1;1;0;1;1;0;0;0;0;2;0;0;1;6;0;0;0;7;1;0
272;gremio;Lucas Milla;2;43;0;2;0;0;0;0;0;0;1;1;0;8;3;0;0;0;0;1;1;0
273;botafogo;Lucas Perri;5;42;0;0;0;0;0;0;0;0;0;20;6;3;0;0;0;0;0;0;0;0
274;coritiba;Boschilia;3;42;3;4;2;0;0;0;1;0;4;0;0;1;2;6;0;0;0;6;1;0
275;athletico-pr;Thiago Andrade;5;42;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;5;0;0
276;athletico-pr;Madson;3;42;0;1;1;1;0;0;0;0;3;1;0;11;1;3;1;0;0;1;0;0
277;bragantino;Vitinho;2;42;3;0;0;1;1;0;0;0;0;0;0;0;2;5;0;0;0;4;2;0
278;coritiba;Jhon Chancellor;2;41;0;2;0;0;0;1;0;0;0;0;0;12;0;0;1;0;0;1;0;0
279;bahia;Arthur Sales;5;41;2;1;0;1;0;0;0;0;1;0;0;0;2;5;0;0;0;15;0;0
280;flamengo;Bruno Henrique;3;40;0;3;1;0;1;1;0;0;2;1;0;1;5;1;0;0;0;7;0;0
281;sao-paulo;Patryck;2;40;0;2;0;0;0;0;0;0;1;1;0;6;2;3;0;0;0;2;1;0
282;cruzeiro;Neto Moura;4;40;0;1;0;1;0;1;0;0;2;0;0;0;3;0;0;0;0;1;0;0
283;internacional;Mauricio;3;40;2;2;1;0;1;0;2;0;2;1;0;1;0;5;1;0;0;5;2;0
284;coritiba;Henrique;2;39;1;1;0;1;0;0;0;0;0;0;0;15;4;1;0;0;0;0;1;0
285;athletico-pr;Rômulo;4;39;0;1;1;0;0;1;0;0;2;0;0;3;2;2;0;0;0;7;0;0
286;santos;Daniel Ruiz;5;39;0;3;7;2;1;0;0;0;5;0;0;2;1;3;0;0;0;14;0;0
287;gremio;Gabriel Chapecó;4;38;0;0;0;0;0;0;0;0;0;15;6;15;0;2;0;0;0;1;1;0
288;coritiba;Robson Fernandes;4;37;1;2;1;0;1;0;0;1;1;0;0;1;4;3;0;0;0;15;0;0
289;palmeiras;Vanderlan;1;37;0;1;2;1;0;0;0;1;0;0;0;1;3;1;0;0;0;0;0;0
290;gremio;Reinaldo;1;37;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0
291;america-mg;Felipe Azevedo;5;37;2;0;0;1;4;0;0;0;3;0;0;2;4;4;1;0;0;12;0;0
292;bahia;Everaldo;4;37;3;1;0;0;1;1;1;0;2;0;0;3;5;4;1;0;0;14;0;0
293;santos;Soteldo;2;36;1;1;3;0;2;0;0;1;4;0;0;0;2;11;0;0;0;5;2;1
294;internacional;Luiz Adriano;4;36;3;1;0;0;0;0;0;0;0;1;0;1;1;2;1;0;0;4;0;0
295;gremio;Fábio;1;36;0;1;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0
296;america-mg;Arthur Augusto;1;36;0;1;0;1;0;0;0;0;1;0;0;4;6;2;0;0;0;7;0;0
297;fluminense;Thiago Santos;4;35;0;2;0;0;0;1;0;0;0;1;0;7;4;2;0;0;0;3;2;0
298;goias;Willian Oliveira;2;35;0;0;0;0;0;1;0;0;1;1;0;5;2;1;0;0;0;1;0;0
299;vasco;Alex Teixeira;5;35;1;2;1;1;1;1;0;2;1;0;0;0;10;4;3;0;0;15;0;0
300;fortaleza;Vinicius Zanocelo;3;35;1;0;0;2;0;0;0;0;0;1;0;2;1;0;0;0;0;3;0;0
